h5_num	sample	tx	weeks	celltype	subtype	n_cells	total_umis	prnp_umis	malat1_umis	rnaseh1_umis	subtype_fct	txc	prnp_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
16	pbs0_02wk_ss_a3	pbs0	2	other	pericyte	40	99253	17	11032	3	pericyte	_ctl	171.27945754788269	99253	0.7521580207427704	#A9A9A9	8	2	2.1215734796000616	2-aso1
17	aso1_02wk_ss_b3	aso1	2	glia	astrocyte	330	1687696	391	263797	18	astrocyte	aso1	231.6767948730103	1687696	0.13035008000442513	#0909FF	3	7	0.3873072388604061	2-aso1
17	aso1_02wk_ss_b3	aso1	2	glia	microglia	96	477528	29	49046	9	microglia	aso1	60.72942319612672	477528	0.1516142171200793	#0909FF	6	4	0.4584552426545246	2-aso1
17	aso1_02wk_ss_b3	aso1	2	glia	oligodendrocyte	101	301481	19	47228	6	oligodendrocyte	aso1	63.022213671840014	301481	0.25547700956071445	#0909FF	4	6	0.20615139714683042	2-aso1
17	aso1_02wk_ss_b3	aso1	2	glia	OPC	55	266225	18	23126	10	OPC	aso1	67.61198234576017	266225	0.25880019113772806	#0909FF	5	5	0.4156889650204977	2-aso1
17	aso1_02wk_ss_b3	aso1	2	neuron	excitatory	3849	53521413	4503	7644694	655	excitatory	aso1	84.13455003514201	53521413	0.10878254349182181	#0909FF	1	9	0.5448666660816813	2-aso1
17	aso1_02wk_ss_b3	aso1	2	neuron	inhibitory	528	6303944	365	683207	69	inhibitory	aso1	57.90026053530932	6303944	0.21612605386792183	#0909FF	2	8	0.5843744488583181	2-aso1
17	aso1_02wk_ss_b3	aso1	2	other	endothelial stalk	53	322071	40	36247	2	endothelial stalk	aso1	124.19621760419287	322071	0.2124111977318978	#0909FF	7	3	0.6677991915055839	2-aso1
17	aso1_02wk_ss_b3	aso1	2	other	fibroblast	56	260962	18	39929	5	fibroblast	aso1	68.97555966002713	260962	-0.0454994130578174	#0909FF	9	1	0.5415878492277489	2-aso1
17	aso1_02wk_ss_b3	aso1	2	other	pericyte	23	52641	3	7520	1	pericyte	aso1	56.989798826010144	52641	0.5957817809418201	#0909FF	8	2	0.66288219427497	2-aso1
5	pbs0_12wk_ss_a1	pbs0	12	glia	astrocyte	518	2435039	1711	460040	35	astrocyte	_ctl	702.6581504444076	2435039	0.11527958056641228	#A9A9A9	3	7	1.1221871354329271	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	glia	microglia	51	211879	35	26526	4	microglia	_ctl	165.18862180772987	211879	0.5258822860447179	#A9A9A9	6	4	1.6919509747745411	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	glia	oligodendrocyte	181	629072	248	98110	18	oligodendrocyte	_ctl	394.2315029122263	629072	0.09974208643807396	#A9A9A9	4	6	1.1048859162621258	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	glia	OPC	100	463726	98	49906	7	OPC	_ctl	211.33169155923972	463726	0.06118387018331161	#A9A9A9	5	5	1.0630943675738629	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	neuron	excitatory	5412	62804353	12103	10040457	927	excitatory	_ctl	192.7095722170723	62804353	0.13213721025327244	#A9A9A9	1	9	1.1412649017708498	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	neuron	inhibitory	740	7717145	1055	974934	108	inhibitory	_ctl	136.7085884741054	7717145	0.1358466389727941	#A9A9A9	2	8	1.1455062041151127	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	other	endothelial stalk	44	224410	40	25515	9	endothelial stalk	_ctl	178.245176239918	224410	-0.11401981078050297	#A9A9A9	7	3	0.8922402797309821	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	other	fibroblast	42	197798	41	33160	5	fibroblast	_ctl	207.28217676619582	197798	0.35127142492336155	#A9A9A9	9	1	1.4208729339052095	12-aso1
5	pbs0_12wk_ss_a1	pbs0	12	other	pericyte	31	80468	7	13767	2	pericyte	_ctl	86.99110205299	80468	-0.29728031673720434	#A9A9A9	8	2	0.7428357538793282	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	glia	astrocyte	539	2053543	1272	345821	40	astrocyte	_ctl	619.417270541693	2053543	-0.01684278016499471	#A9A9A9	3	7	0.9832982664741416	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	glia	microglia	210	495417	49	49469	7	microglia	_ctl	98.90657769111678	495417	-0.08637899377934827	#A9A9A9	6	4	0.9172465346061414	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	glia	oligodendrocyte	503	1235344	472	169989	34	oligodendrocyte	_ctl	382.07980934865105	1235344	0.06584391053218437	#A9A9A9	4	6	1.0680599912386235	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	glia	OPC	113	415933	67	36874	7	OPC	_ctl	161.08363606638568	415933	-0.1911324085710544	#A9A9A9	5	5	0.8260232083572662	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	neuron	excitatory	3747	40101385	6543	5468295	613	excitatory	_ctl	163.16144691760647	40101385	-0.04145319192493405	#A9A9A9	1	9	0.9593942416881571	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	neuron	inhibitory	498	4739786	504	514613	88	inhibitory	_ctl	106.33391465353077	4739786	-0.11652207870678029	#A9A9A9	2	8	0.8900104464800703	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	other	endothelial stalk	102	327295	59	30854	7	endothelial stalk	_ctl	180.26550970836706	327295	-0.10397760113184647	#A9A9A9	7	3	0.9012454840738966	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	other	fibroblast	109	353433	42	55336	4	fibroblast	_ctl	118.83440425766695	353433	-0.22531914091050814	#A9A9A9	9	1	0.7982614202267472	12-aso1
6	pbs0_12wk_ss_a4	pbs0	12	other	pericyte	69	119977	18	19056	5	pericyte	_ctl	150.02875551147304	119977	0.21194187756252203	#A9A9A9	8	2	1.2360760392382875	12-aso1
7	aso1_12wk_ss_b1	aso1	12	glia	astrocyte	658	3403119	2188	574901	57	astrocyte	aso1	642.9396092231862	3403119	0.19291721489640162	#0909FF	3	7	1.0374864194785907	12-aso1
7	aso1_12wk_ss_b1	aso1	12	glia	microglia	314	916812	112	90610	22	microglia	aso1	122.16244988067346	916812	0.029933930599382087	#0909FF	6	4	1.1289362282332343	12-aso1
7	aso1_12wk_ss_b1	aso1	12	glia	oligodendrocyte	516	1352906	544	74004	37	oligodendrocyte	aso1	402.0974110544266	1352906	0.3120152342819454	#0909FF	4	6	1.167988087741179	12-aso1
7	aso1_12wk_ss_b1	aso1	12	glia	OPC	116	529298	113	55228	18	OPC	aso1	213.49032114234325	529298	0.12467210311538837	#0909FF	5	5	1.0797486879617981	12-aso1
7	aso1_12wk_ss_b1	aso1	12	neuron	excitatory	4009	49246232	8396	7493882	730	excitatory	aso1	170.49020115894348	49246232	0.29442247953936423	#0909FF	1	9	1.038688234444344	12-aso1
7	aso1_12wk_ss_b1	aso1	12	neuron	inhibitory	547	5918764	891	713011	99	inhibitory	aso1	150.53818668897762	5918764	0.4456302772962971	#0909FF	2	8	1.3509774915876624	12-aso1
7	aso1_12wk_ss_b1	aso1	12	other	endothelial stalk	174	671643	172	63608	18	endothelial stalk	aso1	256.0884279297186	671643	0.249117846312255	#0909FF	7	3	1.3073241151395787	12-aso1
7	aso1_12wk_ss_b1	aso1	12	other	fibroblast	113	480021	63	74527	4	fibroblast	aso1	131.2442580637097	480021	-0.09221381335278664	#0909FF	9	1	0.8594674309918691	12-aso1
7	aso1_12wk_ss_b1	aso1	12	other	pericyte	85	196584	22	30251	2	pericyte	aso1	111.91144752370488	196584	-0.12305439778035536	#0909FF	8	2	0.9115223008028082	12-aso1
13	aso1_12wk_ss_b2	aso1	12	glia	astrocyte	53	515638	245	21598	5	astrocyte	aso1	475.139535875944	515638	-0.1184208848026602	#0909FF	3	7	0.7599237221573129	12-aso1
13	aso1_12wk_ss_b2	aso1	12	glia	microglia	11	174670	17	8746	3	microglia	aso1	97.32638690101334	174670	-0.1794553210916309	#0909FF	6	4	0.9156569865255504	12-aso1
13	aso1_12wk_ss_b2	aso1	12	glia	oligodendrocyte	17	123792	27	4575	1	oligodendrocyte	aso1	218.10779371849554	123792	-0.2883297922165531	#0909FF	4	6	0.6407843276537842	12-aso1
13	aso1_12wk_ss_b2	aso1	12	glia	OPC	8	84040	10	3562	1	OPC	aso1	118.99095668729177	84040	-0.3731528024636723	#0909FF	5	5	0.6563267051605159	12-aso1
13	aso1_12wk_ss_b2	aso1	12	neuron	excitatory	906	24597098	2184	1026034	234	excitatory	aso1	88.79096225091268	24597098	-0.32586731239548605	#0909FF	1	9	0.5585946584300262	12-aso1
13	aso1_12wk_ss_b2	aso1	12	neuron	inhibitory	103	2972101	176	54190	32	inhibitory	aso1	59.217368454167605	2972101	-0.43133086254038533	#0909FF	2	8	0.5620678304872639	12-aso1
13	aso1_12wk_ss_b2	aso1	12	other	endothelial stalk	9	72448	18	4354	0	endothelial stalk	aso1	248.45406360424028	72448	0.21187984691767903	#0909FF	7	3	1.2595372461490382	12-aso1
13	aso1_12wk_ss_b2	aso1	12	other	fibroblast	9	70806	8	5603	2	fibroblast	aso1	112.98477530152812	70806	-0.21851043364976702	#0909FF	9	1	0.7574945259111531	12-aso1
13	aso1_12wk_ss_b2	aso1	12	other	pericyte	4	19557	6	771	0	pericyte	aso1	306.79552078539655	19557	1.4040702598941064	#0909FF	8	2	4.1974845892858905	12-aso1
14	aso1_12wk_ss_b4	aso1	12	glia	astrocyte	673	3166373	1781	216805	60	astrocyte	aso1	562.4732146212717	3166373	0.04361898227195958	#0909FF	3	7	0.8935997158178739	12-aso1
14	aso1_12wk_ss_b4	aso1	12	glia	microglia	106	510782	53	39530	4	microglia	aso1	103.76246617930937	510782	-0.12519366838886212	#0909FF	6	4	0.9667147605745577	12-aso1
14	aso1_12wk_ss_b4	aso1	12	glia	oligodendrocyte	259	863996	256	19530	29	oligodendrocyte	aso1	296.29766804475946	863996	-0.03320179720251999	#0909FF	4	6	0.8270134289154097	12-aso1
14	aso1_12wk_ss_b4	aso1	12	glia	OPC	99	523021	97	27476	10	OPC	aso1	185.46100443385637	523021	-0.022987005750737078	#0909FF	5	5	0.931526359774439	12-aso1
14	aso1_12wk_ss_b4	aso1	12	neuron	excitatory	6504	96973407	11311	7661876	1179	excitatory	aso1	116.6402248814461	96973407	-0.11442576711892993	#0909FF	1	9	0.690120097171925	12-aso1
14	aso1_12wk_ss_b4	aso1	12	neuron	inhibitory	904	11500642	989	407243	169	inhibitory	aso1	85.99519922453025	11500642	-0.17418120654026345	#0909FF	2	8	0.7268878441074277	12-aso1
14	aso1_12wk_ss_b4	aso1	12	other	endothelial stalk	141	663083	106	45765	11	endothelial stalk	aso1	159.85932379506033	663083	-0.22025709687037953	#0909FF	7	3	0.8175914187514346	12-aso1
