species	region	treatment	weeks	celltype	subtype	residual	l95	u95	total_cells
mouse	cortex	ASO 6	2	other	fibroblast	0.58210714010892	0.3668613475276796	0.9236424737828772	425
mouse	cortex	ASO 6	2	neuron	inhibitory	0.4034751831450013	0.3002136545935444	0.5422545607870325	4849
mouse	cortex	ASO 6	2	glia	microglia	0.24427538565401508	0.16186183241486624	0.3686506148248532	974
mouse	cortex	ASO 6	2	glia	oligodendrocyte	0.2411637652574894	0.17258172128394755	0.33699954572523494	1777
mouse	cortex	ASO 6	2	glia	OPC	0.3938545877897868	0.26997148110637076	0.5745845290301012	559
mouse	cortex	ASO 6	2	other	pericyte	0.3875759781683249	0.18927050596728365	0.7936531795350052	275
mouse	cortex	ASO 6	3	glia	astrocyte	0.6257660589558067	0.5444142759406558	0.7192742325951916	8181
mouse	cortex	ASO 6	3	other	endothelial stalk	0.7144833663550093	0.5710280728456809	0.8939779059442922	956
mouse	cortex	ASO 6	3	neuron	excitatory	0.5894460905817603	0.5155787333250448	0.6738964802938725	62026
mouse	cortex	ASO 6	3	other	fibroblast	1.1519148914843174	0.8131539321322352	1.6318040961124505	494
mouse	cortex	ASO 6	3	neuron	inhibitory	0.6298043252366851	0.5452832931088741	0.7274264462154323	8511
mouse	cortex	ASO 6	3	glia	microglia	0.5498250787937166	0.40480907822508094	0.7467906070585412	1238
mouse	cortex	ASO 6	3	glia	oligodendrocyte	0.5376410173338148	0.4539792647207633	0.6367204099013972	5469
mouse	cortex	ASO 6	3	glia	OPC	0.8308731535716921	0.6698690960516047	1.0305747815435662	1535
mouse	cortex	ASO 6	3	other	pericyte	0.7751048389674137	0.49137337500299727	1.222670054898753	537
mouse	cortex	ASO 6	12	glia	astrocyte	0.604233341122315	0.515452893759822	0.7083051331048599	3666
mouse	cortex	ASO 6	12	other	endothelial stalk	0.7219626903212578	0.5668926246266922	0.9194512392168565	679
mouse	cortex	ASO 6	12	neuron	excitatory	0.6460359144594406	0.5562314946341554	0.750339394294732	37424
